influenza_num,ave_C,min_C,max_C,ave_ws,ave_rh,ave_hpa,daily_precipitation,SO2,NO2,CO,PM2_5,PM10,O38h,AQI
488,14.4,11.8,17.9,3.6,32,969.0,0.0,21.0,68.0,2.365,69.0,248.0,77.0,149.0
446,11.3,6.7,16.7,3.2,16,976.8,0.0,20.0,39.0,1.923,39.0,127.0,84.0,89.0
379,11.3,6.1,18.2,1.6,25,976.2,0.0,26.0,61.0,2.138,51.0,145.0,80.0,98.0
327,15.0,6.7,24.3,1.4,32,972.1,0.0,45.0,93.0,2.35,64.0,168.0,81.0,109.0
329,17.1,8.7,26.1,2.0,35,970.4,0.0,31.0,65.0,2.521,58.0,145.0,81.0,98.0
265,20.1,13.0,27.2,3.4,31,964.6,0.0,29.0,60.0,2.235,52.0,139.0,91.0,95.0
327,22.4,14.2,32.0,2.1,25,961.7,0.0,34.0,56.0,1.906,49.0,136.0,89.0,93.0
548,23.6,16.5,32.0,2.4,25,955.8,0.0,40.0,62.0,2.291,57.0,159.0,107.0,105.0
445,24.4,19.2,31.8,3.4,25,954.9,0.0,33.0,45.0,1.886,53.0,145.0,99.0,98.0
494,21.5,16.1,28.1,3.9,41,953.3,0.0,40.0,60.0,2.443,102.0,266.0,125.0,158.0
403,17.2,14.7,26.0,8.2,50,958.7,0.0,32.0,42.0,2.138,121.0,380.0,77.0,243.0
347,7.5,5.0,14.7,4.9,73,968.0,2.0,14.0,34.0,2.054,73.0,117.0,47.0,98.0
254,7.4,3.5,12.0,2.1,77,973.9,0.0,17.0,39.0,2.025,68.0,93.0,41.0,92.0
331,10.7,7.3,15.7,1.9,67,970.3,0.0,29.0,54.0,2.645,113.0,152.0,51.0,148.0
463,10.7,9.3,13.2,1.3,88,966.5,8.0,17.0,50.0,2.67,137.0,206.0,13.0,182.0
442,13.5,8.6,20.6,0.9,82,967.2,0.0,19.0,62.0,2.489,111.0,190.0,60.0,145.0
470,17.6,11.4,25.5,1.6,69,967.0,0.0,27.0,79.0,2.243,111.0,231.0,84.0,145.0
335,19.9,13.4,27.4,1.9,39,967.3,0.0,32.0,82.0,1.69,88.0,231.0,106.0,141.0
422,20.7,12.7,27.7,2.2,39,961.3,0.0,35.0,79.0,1.69,88.0,214.0,117.0,132.0
272,23.8,15.6,31.8,1.4,48,956.2,0.0,25.0,71.0,1.782,74.0,190.0,133.0,139.0
396,23.4,18.3,27.8,2.2,51,959.9,0.0,36.0,77.0,1.849,123.0,260.0,125.0,162.0
472,18.3,14.3,25.7,2.5,62,968.7,2.3,20.0,46.0,1.257,43.0,114.0,52.0,82.0
343,19.0,12.7,26.4,1.8,58,969.5,0.0,23.0,43.0,1.182,41.0,85.0,116.0,91.0
